sim_time_s,wall_ahead,wall_left,wall_front_right,wall_right,left_density,center_density,right_density,mean_right,target_visible,target_direction,left_velocity,right_velocity
0.032,False,False,False,True,0.00521,0.01035,0.01805,46.12,False,,3.0,3.0
0.064,False,False,False,True,0.00521,0.01463,0.01764,46.12,False,,3.0,3.0
0.096,False,False,False,True,0.00521,0.01141,0.01953,46.114,False,,3.0,3.0
0.128,False,False,False,True,0.00521,0.01141,0.01935,46.113,False,,3.0,3.0
0.16,False,False,False,True,0.00521,0.01488,0.01728,46.178,False,,3.0,3.0
0.192,False,False,False,True,0.00521,0.01209,0.01853,46.158,False,,3.0,3.0
0.224,False,False,False,True,0.00521,0.01209,0.01864,46.436,False,,3.0,3.0
0.256,False,False,False,True,0.00521,0.01209,0.00982,46.689,False,,3.0,3.0
0.288,False,False,False,True,0.00521,0.01197,0.01403,47.381,False,,3.0,3.0
0.32,False,False,False,True,0.00521,0.01197,0.01048,47.929,False,,3.0,3.0
0.352,False,False,False,True,0.00521,0.01197,0.02219,48.55,False,,3.0,3.0
0.384,False,False,False,True,0.00521,0.0119,0.02066,49.181,False,,3.0,3.0
0.416,False,False,False,True,0.00521,0.0119,0.02083,49.747,False,,3.0,3.0
0.448,False,False,False,True,0.00521,0.01184,0.01941,50.566,False,,3.0,3.0
0.48,False,False,False,True,0.00521,0.01184,0.02214,51.356,False,,3.0,3.0
0.512,False,False,False,True,0.00521,0.01178,0.01225,52.112,False,,3.0,3.0
0.544,False,False,False,True,0.00521,0.01184,0.01213,52.837,False,,3.0,3.0
0.576,False,False,False,True,0.00521,0.01184,0.01213,53.363,False,,3.0,3.0
0.608,False,False,False,True,0.00521,0.01178,0.01213,53.908,False,,3.0,3.0
0.64,False,False,False,True,0.00521,0.01184,0.01201,54.444,False,,3.0,3.0
0.672,False,False,False,True,0.00521,0.01172,0.01201,55.074,False,,3.0,3.0
0.704,False,False,False,True,0.00521,0.01172,0.01201,55.522,False,,3.0,3.0
0.736,False,False,False,True,0.00521,0.01172,0.0119,56.16,False,,3.0,3.0
0.768,False,False,False,True,0.00521,0.01166,0.01201,56.732,False,,3.0,3.0
0.8,False,False,False,True,0.00521,0.01166,0.01196,57.323,False,,3.0,3.0
0.832,False,False,False,True,0.00521,0.01159,0.01196,57.89,False,,3.0,3.0
0.864,False,False,False,True,0.00521,0.01153,0.01184,58.478,False,,3.0,3.0
0.896,False,False,False,True,0.00521,0.01153,0.01184,59.179,False,,3.0,3.0
0.928,False,False,False,True,0.00521,0.01153,0.01184,60.114,False,,3.0,3.0
0.96,False,False,False,True,0.00521,0.01141,0.0119,62.915,False,,3.0,3.0
0.992,False,False,False,True,0.00521,0.01135,0.01184,66.549,False,,3.0,3.0
1.024,False,False,False,True,0.00521,0.01122,0.01178,64.986,False,,3.0,3.0
1.056,False,False,False,True,0.00521,0.01122,0.01178,61.795,False,,3.0,3.0
1.088,False,False,False,True,0.00521,0.01122,0.01172,58.929,False,,3.0,3.0
1.12,False,False,False,True,0.00521,0.01116,0.01154,55.839,False,,3.0,3.0
1.152,False,False,False,True,0.00521,0.01116,0.01113,52.474,False,,3.0,3.0
1.184,False,False,False,True,0.00521,0.01104,0.01077,49.118,False,,3.0,3.0
1.216,False,False,False,True,0.00521,0.01104,0.01042,49.099,False,,3.0,3.0
1.248,False,False,False,True,0.00521,0.01097,0.00994,49.077,False,,3.0,3.0
1.28,False,False,False,True,0.00521,0.01097,0.00959,49.065,False,,3.0,3.0
1.312,False,False,False,True,0.00521,0.01091,0.00929,49.044,False,,3.0,3.0
1.344,False,False,False,True,0.00521,0.01085,0.00894,49.034,False,,3.0,3.0
1.376,False,False,False,True,0.00521,0.01073,0.0084,49.031,False,,3.0,3.0
1.408,False,False,False,True,0.00521,0.01073,0.00817,49.04,False,,3.0,3.0
1.44,False,False,False,True,0.00521,0.01073,0.00781,49.052,False,,3.0,3.0
1.472,False,False,False,True,0.00521,0.01066,0.00722,49.052,False,,3.0,3.0
1.504,False,False,False,True,0.00521,0.01054,0.00692,49.052,False,,3.0,3.0
1.536,False,False,False,True,0.00521,0.01054,0.00639,49.047,False,,3.0,3.0
1.568,False,False,False,True,0.00521,0.01042,0.00621,49.041,False,,3.0,3.0
1.6,False,False,False,True,0.00521,0.01035,0.0058,49.033,False,,3.0,3.0
1.632,False,False,False,True,0.00521,0.00973,0.0058,49.024,False,,3.0,3.0
1.664,False,False,False,True,0.00521,0.00936,0.00574,49.022,False,,3.0,3.0
1.696,False,False,False,True,0.00521,0.00893,0.00568,49.033,False,,3.0,3.0
1.728,False,False,False,True,0.00521,0.00843,0.00562,49.035,False,,3.0,3.0
1.76,False,False,False,True,0.00521,0.00775,0.00556,49.025,False,,3.0,3.0
1.792,False,False,False,True,0.00521,0.0075,0.00556,49.024,False,,3.0,3.0
1.824,False,False,False,True,0.00521,0.00521,0.0055,49.033,False,,3.0,3.0
1.856,False,False,False,True,0.00521,0.00521,0.00545,49.04,False,,3.0,3.0
